customer_id,customer_name,email,registration_date,customer_type
C00001,Vivaan Sharma,vivaan.sharma1example.com,2024-02-21,REGULAR
C00002,Aditya Verma,aditya.verma2@,2023-07-30,PREMIUM
C00003,Meera Verma,meera.verma3example.com,2023-09-12,REGULAR
C00004,Aarav Verma,aarav.verma4@,2024-03-21,REGULAR
C00005,Riya Sharma,riya.sharma5example.com,2023-09-27,REGULAR
C00006,Meera Khan,meera.khan6@,2024-03-20,REGULAR
C00007,Ishaan Sharma,ishaan.sharma7example.com,2024-04-20,REGULAR
C00008,Ananya Gupta,ananya.gupta8@,2024-04-22,REGULAR
C00009,Ananya Verma,ananya.verma9example.com,2024-05-24,REGULAR
C00010,Ananya Iyer,ananya.iyer10@,2023-09-05,REGULAR
C00011,Aarav Singh,aarav.singh11example.com,2023-10-10,REGULAR
C00012,Diya Verma,diya.verma12@,2023-10-02,REGULAR
C00013,Riya Iyer,riya.iyer13@example.com,2023-09-19,REGULAR
C00014,Vivaan Sharma,vivaan.sharma14@example.com,2023-08-07,REGULAR
C00015,Ishaan Verma,ishaan.verma15@example.com,2024-03-13,PREMIUM
C00016,Diya Gupta,diya.gupta16@example.com,2023-11-21,REGULAR
C00017,Ananya Patel,ananya.patel17@example.com,2024-01-03,REGULAR
C00018,Ishaan Verma,ishaan.verma18@example.com,2023-09-03,REGULAR
C00019,Meera Reddy,meera.reddy19@example.com,2024-04-18,REGULAR
C00020,Ishaan Das,ishaan.das20@example.com,2024-03-20,REGULAR
C00021,Aarav Reddy,aarav.reddy21@example.com,2024-06-24,PREMIUM
C00022,Diya Gupta,diya.gupta22@example.com,2024-06-07,REGULAR
C00023,Riya Iyer,riya.iyer23@example.com,2024-03-24,REGULAR
C00024,Diya Singh,diya.singh24@example.com,2024-04-28,REGULAR
C00025,Arjun Das,arjun.das25@example.com,2023-10-09,REGULAR
C00026,Riya Khan,riya.khan26@example.com,2023-09-16,REGULAR
C00027,Arjun Patel,arjun.patel27@example.com,2023-10-24,REGULAR
C00028,Aarav Verma,aarav.verma28@example.com,2024-04-23,REGULAR
C00029,Diya Nair,diya.nair29@example.com,2024-06-08,REGULAR
C00030,Riya Singh,riya.singh30@example.com,2023-10-14,REGULAR
C00031,Meera Sharma,meera.sharma31@example.com,2023-07-28,PREMIUM
C00032,Meera Gupta,meera.gupta32@example.com,2023-08-17,REGULAR
C00033,Ishaan Khan,ishaan.khan33@example.com,2024-04-21,REGULAR
C00034,Ishaan Das,ishaan.das34@example.com,2024-04-10,REGULAR
C00035,Vivaan Gupta,vivaan.gupta35@example.com,2023-08-18,REGULAR
C00036,Arjun Patel,arjun.patel36@example.com,2024-01-01,PREMIUM
C00037,Meera Das,meera.das37@example.com,2024-07-10,REGULAR
C00038,Kavya Sharma,kavya.sharma38@example.com,2024-05-14,PREMIUM
C00039,Ishaan Reddy,ishaan.reddy39@example.com,2024-06-11,REGULAR
C00040,Riya Verma,riya.verma40@example.com,2024-05-28,PREMIUM
C00041,Vivaan Das,vivaan.das41@example.com,2024-05-07,REGULAR
C00042,Kavya Das,kavya.das42@example.com,2024-04-17,REGULAR
C00043,Riya Khan,riya.khan43@example.com,2024-03-24,PREMIUM
C00044,Arjun Gupta,arjun.gupta44@example.com,2023-12-19,VIP
C00045,Ananya Singh,ananya.singh45@example.com,2023-10-20,REGULAR
C00046,Arjun Reddy,arjun.reddy46@example.com,2024-06-08,REGULAR
C00047,Riya Das,riya.das47@example.com,2024-03-15,REGULAR
C00048,Aarav Verma,aarav.verma48@example.com,2023-07-14,REGULAR
C00049,Arjun Verma,arjun.verma49@example.com,2024-06-24,PREMIUM
C00050,Vivaan Das,vivaan.das50@example.com,2024-03-11,REGULAR
C00051,Kavya Reddy,kavya.reddy51@example.com,2023-10-08,REGULAR
C00052,Riya Nair,riya.nair52@example.com,2023-11-11,REGULAR
C00053,Kavya Khan,kavya.khan53@example.com,2024-04-04,REGULAR
C00054,Diya Iyer,diya.iyer54@example.com,2023-12-07,REGULAR
C00055,Aarav Verma,aarav.verma55@example.com,2024-06-09,REGULAR
C00056,Ananya Verma,ananya.verma56@example.com,2024-03-05,REGULAR
C00057,Meera Singh,meera.singh57@example.com,2024-04-30,REGULAR
C00058,Ishaan Singh,ishaan.singh58@example.com,2024-03-05,PREMIUM
C00059,Vivaan Singh,vivaan.singh59@example.com,2023-10-03,REGULAR
C00060,Meera Sharma,meera.sharma60@example.com,2024-05-24,PREMIUM
C00061,Arjun Patel,arjun.patel61@example.com,2023-12-15,REGULAR
C00062,Arjun Khan,arjun.khan62@example.com,2024-06-10,REGULAR
C00063,Aarav Khan,aarav.khan63@example.com,2024-02-26,PREMIUM
C00064,Kavya Gupta,kavya.gupta64@example.com,2023-12-07,REGULAR
C00065,Meera Singh,meera.singh65@example.com,2024-04-22,REGULAR
C00066,Arjun Sharma,arjun.sharma66@example.com,2023-09-18,PREMIUM
C00067,Aarav Iyer,aarav.iyer67@example.com,2024-06-11,REGULAR
C00068,Kavya Das,kavya.das68@example.com,2023-10-13,REGULAR
C00069,Meera Verma,meera.verma69@example.com,2024-04-06,REGULAR
C00070,Vivaan Reddy,vivaan.reddy70@example.com,2023-12-17,REGULAR
C00071,Riya Reddy,riya.reddy71@example.com,2023-09-18,REGULAR
C00072,Riya Verma,riya.verma72@example.com,2023-12-09,REGULAR
C00073,Riya Das,riya.das73@example.com,2024-01-31,VIP
C00074,Arjun Iyer,arjun.iyer74@example.com,2024-03-10,REGULAR
C00075,Aditya Gupta,aditya.gupta75@example.com,2023-11-19,REGULAR
C00076,Vivaan Sharma,vivaan.sharma76@example.com,2023-11-19,REGULAR
C00077,Riya Verma,riya.verma77@example.com,2024-06-03,REGULAR
C00078,Meera Gupta,meera.gupta78@example.com,2024-05-04,VIP
C00079,Vivaan Reddy,vivaan.reddy79@example.com,2024-01-03,REGULAR
C00080,Kavya Das,kavya.das80@example.com,2023-07-16,REGULAR
C00081,Meera Sharma,meera.sharma81@example.com,2023-08-04,PREMIUM
C00082,Ishaan Verma,ishaan.verma82@example.com,2024-05-03,REGULAR
C00083,Vivaan Das,vivaan.das83@example.com,2024-04-22,REGULAR
C00084,Riya Reddy,riya.reddy84@example.com,2024-01-17,REGULAR
C00085,Ishaan Das,ishaan.das85@example.com,2023-11-03,REGULAR
C00086,Aarav Verma,aarav.verma86@example.com,2023-08-21,REGULAR
C00087,Ishaan Sharma,ishaan.sharma87@example.com,2024-07-09,REGULAR
C00088,Aditya Gupta,aditya.gupta88@example.com,2024-04-19,PREMIUM
C00089,Meera Khan,meera.khan89@example.com,2023-09-27,REGULAR
